"uuid","match_id","puuid","win_label","champion_name","team_position","side","patch","team_first_blood","enemy_first_blood","first_blood_advantage","team_first_dragon","enemy_first_dragon","first_dragon_advantage","team_first_grub","enemy_first_grub","first_grub_advantage","team_first_herald","enemy_first_herald","first_herald_advantage","team_first_tower","enemy_first_tower","first_tower_advantage"
"NA1_5551388283_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5551388283","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",0,"Ambessa","TOP","blue","16.9.772.1032",0,1,-1,1,0,1,0,1,-1,1,0,1,0,1,-1
"NA1_5551055165_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5551055165","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Varus","TOP","red","16.9.772.1032",1,0,1,1,0,1,0,1,-1,0,1,-1,1,0,1
"NA1_5551039061_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5551039061","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Kennen","TOP","red","16.9.772.1032",1,0,1,0,1,-1,1,0,1,0,0,0,1,0,1
"NA1_5551019114_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5551019114","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Vayne","TOP","red","16.9.772.1032",1,0,1,1,0,1,1,0,1,1,0,1,1,0,1
"NA1_5550986486_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5550986486","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",0,"Anivia","TOP","blue","16.9.772.1032",1,0,1,0,1,-1,0,1,-1,1,0,1,1,0,1
"NA1_5550745781_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5550745781","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Vayne","TOP","red","16.9.772.1032",0,1,-1,0,1,-1,1,0,1,0,1,-1,1,0,1
"NA1_5550731153_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5550731153","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"Anivia","TOP","blue","16.9.772.1032",1,0,1,1,0,1,1,0,1,0,0,0,1,0,1
"NA1_5550418831_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5550418831","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",1,"TwistedFate","TOP","red","16.9.771.8383",1,0,1,0,1,-1,1,0,1,0,1,-1,1,0,1
"NA1_5550402564_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5550402564","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",0,"Anivia","TOP","blue","16.9.771.8383",0,1,-1,0,1,-1,1,0,1,0,0,0,0,1,-1
"NA1_5550379845_HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg","NA1_5550379845","HyV5KTRtWB8THW-426oLBI5qiUhzH0ErInv-1pQUCU5Aka8cyM5Cmi6swpZcbRn4E5duhXIKhbZASg",0,"Anivia","TOP","red","16.9.771.8383",0,1,-1,0,1,-1,0,1,-1,1,0,1,0,1,-1
